condition,question,politics,mean,std,stde
fetish,internal distress,liberal,3.653543307,1.518674025,0.052090089
gay,internal distress,liberal,3.697247706,1.643939906,0.056386674
obese,internal distress,liberal,5.591517857,1.229983147,0.042188074
pedophile,internal distress,liberal,4.929411765,1.65301716,0.056698021
psychopath,internal distress,liberal,2.663608563,1.827698393,0.062689538
racist,internal distress,liberal,3.041543027,1.802295492,0.061818225
schizophrenia,internal distress,liberal,6.268882175,1.20487581,0.041326899
transgender,internal distress,liberal,5.868493151,1.413910165,0.048496719
depression,mental illness,conservative,4.313333333,1.57214284,0.081511809
drugs,mental illness,conservative,3.429577465,1.951169452,0.101163424
fetish,mental illness,conservative,3.704761905,1.936113323,0.1003828
gay,mental illness,conservative,2.615384615,1.854242001,0.096137969
obese,mental illness,conservative,2.445026178,1.659379679,0.086034829
pedophile,mental illness,conservative,5.591549296,1.746952482,0.090575267
psychopath,mental illness,conservative,5.801282051,1.559238324,0.080842741
racist,mental illness,conservative,2.456375839,1.722204831,0.089292161
schizophrenia,mental illness,conservative,6.326666667,1.006666815,0.052193243
transgender,mental illness,conservative,4.25170068,2.06684041,0.107160683
depression,mental illness,liberal,4.67673716,1.515986404,0.051997905
drugs,mental illness,liberal,3.776470588,1.784075548,0.061193286
fetish,mental illness,liberal,3.062992126,1.803589006,0.061862593
gay,mental illness,liberal,1.498470948,1.197837053,0.041085472
obese,mental illness,liberal,2.046875,1.467024279,0.050318518
pedophile,mental illness,liberal,5.629411765,1.676935225,0.057518404
psychopath,mental illness,liberal,5.914373089,1.516375286,0.052011243
racist,mental illness,liberal,2.632047478,1.784835166,0.061219341
schizophrenia,mental illness,liberal,6.380664653,1.10923978,0.038046611
transgender,mental illness,liberal,2.42739726,1.873269185,0.064252603
depression,punishment,conservative,3.87333333,0.92900081,0.048166448
drugs,punishment,conservative,4.65492958,1.148824713,0.059563787
fetish,punishment,conservative,4.16190476,0.962007212,0.04987775
gay,punishment,conservative,4.1025641,0.737733995,0.038249726
obese,punishment,conservative,4.05759162,0.809049124,0.041947243
pedophile,punishment,conservative,5.70422535,1.308936726,0.067865208
psychopath,punishment,conservative,4.8974359,1.234867041,0.064024874
racist,punishment,conservative,4.71812081,1.115496114,0.057835779
schizophrenia,punishment,conservative,3.46,1.162212655,0.060257919
transgender,punishment,conservative,4.17006803,0.743687127,0.038558381
depression,punishment,liberal,3.79758308,0.955745095,0.032781786
drugs,punishment,liberal,4.37058824,1.125339519,0.038598827
fetish,punishment,liberal,4.11811024,0.723563571,0.024818026
gay,punishment,liberal,4.01834862,0.542347511,0.018602366
obese,punishment,liberal,4.00223214,0.557635163,0.019126728
pedophile,punishment,liberal,5.28529412,1.338478058,0.045909419
psychopath,punishment,liberal,4.73088685,1.238837327,0.04249177
racist,punishment,liberal,5.29080119,1.26008017,0.043220393
schizophrenia,punishment,liberal,2.96374622,1.405147415,0.048196159
transgender,punishment,liberal,4.04109589,0.655457984,0.022482023
depression,wrongness,conservative,3.233333333,1.967578373,0.102014186
drugs,wrongness,conservative,5.577464789,1.493835767,0.077451777
fetish,wrongness,conservative,4.4,1.978733083,0.102592531
gay,wrongness,conservative,3.641025641,2.222897609,0.115251872
obese,wrongness,conservative,4.308900524,1.68706358,0.087470172
pedophile,wrongness,conservative,6.704225352,1.04364835,0.054110646
psychopath,wrongness,conservative,5.557692308,1.727352569,0.089559059
racist,wrongness,conservative,5.637583893,1.771450639,0.091845437
