Condition,mental,change,want_change,genes,punish,control,wrong,distress,common
pedo,,,,,,,,,
pedo,,,,,,,,,
pedo,6,7,6,2,4,2,7,7,4
pedo,,,,,,,,,
pedo,7,7,1,6,7,6,7,1,5
pedo,,,,,,,,,
pedo,,,,,,,,,
pedo,,,,,,,,,
pedo,,,,,,,,,
pedo,,,,,,,,,
pedo,4,6,4,2,4,2,6,5,10
pedo,,,,,,,,,
pedo,,,,,,,,,
pedo,,,,,,,,,
pedo,,,,,,,,,
pedo,,,,,,,,,
pedo,,,,,,,,,
pedo,4,3,4,3,5,6,7,5,19
pedo,,,,,,,,,
pedo,,,,,,,,,
pedo,5,4,4,1,4,2,7,5,9
pedo,,,,,,,,,
pedo,7,5,4,4,7,5,7,5,31
pedo,,,,,,,,,
pedo,4,6,5,4,4,2,7,1,2
pedo,,,,,,,,,
pedo,5,6,6,4,4,2,6,6,44
pedo,7,7,7,2,4,1,7,7,10
pedo,,,,,,,,,
pedo,5,6,2,2,6,5,7,2,54
pedo,7,5,5,4,5,2,7,6,7
pedo,,,,,,,,,
pedo,7,5,5,1,7,5,7,3,16
pedo,6,6,4,1,6,4,7,4,2
pedo,,,,,,,,,
pedo,7,7,1,1,7,5,7,1,5
pedo,,,,,,,,,
pedo,,,,,,,,,
pedo,4,5,6,5,6,5,3,6,76
pedo,5,6,1,1,7,3,7,1,5
pedo,,,,,,,,,
pedo,4,7,2,2,5,3,7,6,5
pedo,7,7,5,4,6,2,7,6,10
pedo,,,,,,,,,
pedo,4,5,5,3,4,5,3,5,100
pedo,,,,,,,,,
pedo,,,,,,,,,
pedo,,,,,,,,,
pedo,,,,,,,,,
pedo,,,,,,,,,
pedo,6,7,5,4,4,3,7,5,22
pedo,7,7,4,1,4,4,7,5,4
pedo,,,,,,,,,
pedo,5,6,5,5,5,4,7,6,20
pedo,7,6,5,3,5,3,7,4,4
pedo,4,5,6,4,4,2,6,6,5
pedo,6,6,6,2,1,1,4,7,5
pedo,7,7,5,5,6,3,7,6,20
pedo,4,4,4,3,7,3,7,4,21
pedo,6,4,5,2,4,3,7,6,2
pedo,,,,,,,,,
